orgao,url,nome_da_autoridade,endereco,cep,municipio,uf,ddd,telefone,contato
CDC – Companhia Docas do Ceará,http://www.docasdoceara.com.br/lai/,Amanda Gomes Braide,"PRAÇA AMIGOS DA MARINHA, S/N - MUCURIPE",60180422,Fortaleza,CE,85,32668828,sic@docasdoceara.com.br
CDP – Companhia Docas do Pará,http://www.cdp.com.br/acessoainformacao,ADENILZA DE NAZARE DIAS O' DE ALMEIDA,"AV. PRESIDENTE VARGAS, 41 - CENTRO",66010000,Belém,PA,91,31829097,sic@cdp.com.br
CDRJ – Companhia Docas do Rio de Janeiro,http://www.portosrio.gov.br/acessoainformacao,Marília de Andrade Dutra - Ouvidora Geral,RUA ACRE Nº 21 - CENTRO,20081000,Rio de Janeiro,RJ,21,22198546,sic@portosrio.gov.br
CEAGESP – Companhia de Entrepostos e Armazéns Gerais de São Paulo,http://www.ceagesp.gov.br/acessoainformacao,MARCIO NEVES SILVA,"Av. Dr. Gastão Vidigal, 1946 - Vila Leopoldina - São Paulo / SP",5316900,São Paulo,SP,11,36433870,ouvidoria@ceagesp.gov.br
CEAL – Companhia Energética de Alagoas,http://www.ceal.com.br/acessoinformacao.aspx,Gustavo Lima Novaes,"Av. Fernandes Lima, 3349, Gruta de Lourdes",57057900,Maceió,AL,82,21269200,sic@ceal.com.br
CEASA-MG – Centrais de Abastecimento de Minas Gerais S.A.,http://www.ceasaminas.com.br/acesso_inf.asp,Arlene Barros Vilela,"Rodovia BR 040 Km 688, Prédio da Administração - Ouvidoria - Guanabara",32145900,Contagem,MG,31,992810651,sic@ceasaminas.com.br
CEF – Caixa Econômica Federal,http://www.caixa.gov.br/acesso-a-informacao/Paginas/default.aspx,Arno Meyer,SBS QUADRA 4 LOTES 3/4 - 21º ANDAR,70092900,Brasília,DF,61,32066958,sic@caixa.gov.br
CEFET-MG – Centro Federal de Educação Tecnológica de Minas Gerais,,GISELE CRISTINA DE ALMEIDA SAMPAIO,"Av. Amazonas 5253, Prédio Administrativo - 2º andar - Nova Suissa",30421169,Belo Horizonte,MG,31,33197011,gisele@adm.cefetmg.br
CEFET-RJ – Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,http://portal.cefet-rj.br/acesso-a-informacao.html,Úrsula Gomes Rosa Maruyama,"Av. Maracanã, 229, Bloco E - 1o andar",20271110,Rio de Janeiro,RJ,21,987785941,sic@cefet-rj.br
CEITEC/S.A. – Centro Nacional de Tecnologia Eletrônica Avançada S.A.,http://www.ceitec-sa.com/pt/acesso-informacao,Ireneo Alfaro Demanarig Jr. (Assessor Especial da Presidência),"Estrada João de Oliveira Remião, 777 - Agronomia",91550000,Porto Alegre,RS,51,32209718,acessoainformacao@ceitec-sa.com
CEPISA – Companhia Energética do Piauí,http://www.cepisa.com.br/cepisa/acesso_info.php,José Vieria dos Santos Filho,"Av. Maranhão, nº 759 - Sala 101 - Sul",64001010,Teresina,PI,86,32288282,sic2014@eletrobraspiaui.com
CERON – Centrais Elétricas de Rondônia S.A.,http://www.ceron.com.br/acessoInformacao.cfm,Francisca Jacirema Fernandes Souza,"Av. Imigrantes, Industrial",76821063,Porto Velho,RO,69,32164155,sic@ceron.com.br
CETEM – Centro de Tecnologia Mineral,http://www.cetem.gov.br/Acesso,Fernando Antonio Freitas Lins,"Av. Pedro Calmon, 900",21941908,Rio de Janeiro,RJ,21,38657228,sic@cetem.gov.br
CETENE – Centro de Tecnologias Estratégicas do Nordeste,http://www.cetene.gov.br,André Galembeck,"Av. Prof. Luiz Freire, nº 01, Cidade Universitária",50740545,Recife,PE,81,33347201,lygia.britto@cetene.gov.br
CEX – Comando do Exército,http://www.exercito.gov.br/web/guest/sic,General de Exército FERNANDO AZEVEDO E SILVA,Quartel General do Exército - Bloco A 2º ANDAR - Setor Militar Urbano,70630901,Brasília,DF,61,34156830,sic@ccomsex.eb.mil.br
CGTEE – Companhia de Geração Térmica de Energia Elétrica,http://www.cgtee.gov.br,Stéfanie Galante Duarte,"Rua Sete de Setembro, 539, Centro",90010190,Porto Alegre,RS,51,32871658,sic@cgtee.gov.br
CGU – Ministério da Transparência e Controladoria-Geral da União,http://www.cgu.gov.br/Acessoainformacao/,Wagner de Campos Rosário,"Setor de Autarquias Sul (SAS), Quadra 01, Bloco A, Edifício Darcy Ribeiro, 8º andar, Gabinete da SE",70070905,Brasília,DF,61,20207250,sic@cgu.gov.br
CHESF – Companhia Hidro Elétrica do São Francisco,http://www.chesf.gov.br/Pages/default.aspx,Daniela Aniceto de Sousa Oliveira,"Rua Delmiro Gouveia, 333, San Martin",50761901,Recife,PE,81,32292929,sic@chesf.gov.br
CMAR – Comando da Marinha,https://www.marinha.mil.br/,Contra-Almirante Luiz Roberto Cavalcanti Valicente,"ESPLANADA DOS MINISTÉRIOS, BLOCO N, ANEXO A",70055900,Brasília,DF,61,34291996,sic@marinha.mil.br
CMB – Casa da Moeda do Brasil,http://www.casadamoeda.gov.br,JORGE EDUARDO VIEIRA COSTA,RUA RENÉ BITTENCOURT - Distrito Industrial Santa Cruz,23565200,Rio de Janeiro,RJ,21,24142937,sic@cmb.gov.br
CNEN – Comissão Nacional de Energia Nuclear,http://www.cnen.gov.br,Cássia Helena Pereira Lima,"R. General Severiano, 90, sala 218, Botafogo",22294900,Rio de Janeiro,RJ,21,21732130,sic@cnen.gov.br
CNPQ – Conselho Nacional de Desenvolvimento Científico e Tecnológico,http://www.cnpq.br/web/guest/acesso-a-informacao,Maria Claudia Miranda Diogo,"SHIS QI 1 Conjunto B - Blocos A, B, C e D   Lago Sul",71605001,Brasília,DF,61,32119271,sic@cnpq.br
CODEBA – Companhia das Docas do Estado da Bahia,http://www.codeba.com.br,Adriano Dias Moraes,Avenida da França 1551 - Comércio,40010000,Salvador,BA,71,33201380,sic@codeba.com.br
CODERN – Companhia Docas do Rio Grande do Norte,http://www.codern.com.br/acessoainformacao,KAYO RODRIGO FERNANDES CARLOS DA COSTA,"AV. HILDEBRANDO DE GOIS, 220 - RIBEIRA",59010700,Natal,RN,84,40055323,sic@codern.com.br
CODESA – Companhia Docas do Espírito Santo,http://www.codesa.gov.br/acessoainformação,Ronaldo Vieira Malta,Av Getúlio vargas 556 - Centro,29010945,Vitória,ES,27,31327343,ralbert@codesa.gov.br
CODESP – Companhia Docas do Estado de São Paulo,http://www.portodesantos.com.br/acessoinformacao,Fernando Sguillaro Credidio,Av.Rodrigues Alves s/nº - Macuco,11015240,Santos,SP,13,32026557,sic@portodesantos.com.br
CODEVASF – Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba,http://www.codevasf.gov.br/principal/acesso-a-informacao,Rita de Cássia Costa Minervino,"SGAN 601, CONJUNTO I, ED. DEP. MANOEL NOVAES, 4º ANDAR",70830901,Brasília,DF,61,20284610,ouvidoria@codevasf.gov.br
CODOMAR – Companhia Docas do Maranhão,http://www.codomar.gov.br/Acesso,KAROLINA FONSECA LIMA,"AV.BORBOREMA QUADRA 18, Nº25 - CALHAU",65071360,São Luís,MA,98,32352379,codomar@codomar.gov.br
COMAER – Comando da Aeronáutica,http://www.fab.mil.br/acessoainformacao,Brigadeiro do Ar Antonio Ramirez Lorenzo,"Esplanada dos Ministérios, bloco M",70045900,Brasília,DF,61,39669684,sicfab@fab.mil.br
CONAB – Companhia Nacional de Abastecimento,http://www.conab.gov.br/,Leonardo Portilho Fernandes de Oliveira,"SGAS 901 Bloco ""A"" Lote 69",70390010,Brasília,DF,61,33126083,sic.conab@conab.gov.br
CP II – Colégio Pedro II,http://www.cp2.g12.br/acessoainformacao,VERA LUCIA LOPES MEDALHA,"CAMPO DE SÃO CRISTÓVÃO, 177",20921903,Rio de Janeiro,RJ,21,97977078,sic@cp2.g12.br
CPRM – Companhia de Pesquisa de Recursos Minerais,http://www.cprm.gov.br/publique/Informacao-Publica/Acesso-a-Informacao-208,Cinara Santos da Silva,"Rua Costa, 55",1304010,São Paulo,SP,11,37755145,sic@cprm.gov.br
CTI – Centro de Tecnologia da Informação Renato Archer,http://www.cti.gov.br/acessoainformacao,VICTOR PELLEGRINI MAMMANA,"Rodovia D. Pedro I(SP_65), km. 143,5 - Bairro Amarrais",13069901,Campinas,SP,19,37466001,sic@cti.gov.br
CVM – Comissão de Valores Mobiliários,http://www.cvm.gov.br/menu/acesso_informacao/institucional/sobre/cvm.html,Alexandre Pinheiro dos Santos,"Rua Sete de Setembro, 111, 31º andar, Centro",20050901,Rio de Janeiro,RJ,21,35548258,sic2@cvm.gov.br
DATAPREV – Empresa de Tecnologia e Informações da Previdência,http://portal.dataprev.gov.br/acesso-informacao/institucional,Caroline Barbosa Costa,"Setor de Autarquias Sul (SAUS), Quadra 01, bloco E/F. 8º andar.",70070931,Brasília,DF,61,32073550,sic@dataprev.gov.br
DEPEN – Departamento Penitenciário Nacional,http://www.mj.gov.br/depen,Marivaldo de Castro Pereira,SCN Quadra 3 bloco B lote 120 - Ed. Victória,70064900,Brasília,DF,61,20253037,sic.depen@mj.gov.br
DNIT/MT – Departamento Nacional de Infraestrutura de Transportes,http://www.dnit.gov.br,Rafael Vidal de Abreu,"SAN Qd. 03, Bl. A, Ed. Núcleo dos Transportes",70040902,Brasília,DF,61,33154000,sic@dnit.gov.br
DNOCS – Departamento Nacional de Obras Contra as Secas,http://sic.dnocs.gov.br/portal/,Milton Alves de Sousa,"Av. Duque de Caxias, n° 1700 - Centro",60035111,Fortaleza,CE,85,32233993,sic@dnocs.gov.br
DPF – Departamento de Polícia Federal,http://www.dpf.gov.br/acessoainformacao,Sandro Luciano Caron de Moraes,"Setor de Autarquias Sul, quadra 6, lotes 9/10",70037900,Brasília,DF,61,20247940,sic@dpf.gov.br
DPRF – Departamento de Polícia Rodoviária Federal,http://www.prf.gov.br,Marcelo Aparecido Moreno,"Setor Policial, Quadra 3, Lote 5, Complexo Sede PRF.",70610509,Brasília,DF,61,20256642,sic@dprf.gov.br
EBC – Empresa Brasil de Comunicação S.A.,http://www.ebc.com.br/,Joseti Marques Xisto da Cunha,"SCS Q. 08, Bl. B 50, Ed. Super Center - Venâncio 2000 / OUVIDORIA",70333900,Brasília,DF,61,37995737,sic@ebc.com.br
EBSERH – Empresa Brasileira de Serviços Hospitalares,http://www.ebserh.gov.br/,Rodrigo da Silva Albuquerque,"Setor Comercial Sul - SCS, Quadra 09, Lote C, Ed. Parque Cidade C",70308200,Brasília,DF,61,32558940,ouvidoria@ebserh.gov.br
EBSERH - HDT/UFTO - Hospital de Doenças Tropicais da UFTO,http://www.ebserh.gov.br/web/portal-ebserh/ouvidoria-geral-ebserh,Edy César dos Passos Júnior,"Rua José de Brito Soares, Rua 1015, Setor Anhanguera, Araguaína (TO)",77000000,Araguaína,TO,63,34116005,ouvidoria.hdt@ebserh.gov.br
EBSERH - UFSCAR/SP - Hospital Universitário Professor Dr. Horácio Carlos Penepucci,http://ebserh.gov.br/web/portal-ebserh/empregados,Roger Taylor,"Rua Luiz Vaz de Camões, 111 - Vila Celina",13566448,São Carlos,SP,16,35092465,ouvidoria.hufscar@ebserh.gov.br
EBSERH/FURG - Hospital Universitário Dr. Miguel Riet Côrrea Júnior,http://www.ebserh.gov.br/web/hu-furg,Gicelda Maria Pardo Vieira,"Visconde Paranaguá, 102",96200190,Rio Grande,RS,53,32330333,ouvidoria@hu.furg.br
EBSERH-HUL - Hospital Universitário de Lagarto,,Antonio Fernando Carvalho de Andrade,"Av. Brasília S/N, Santa Terezinha, Lagarto - SE",49400000,Lagarto,SE,79,36322003,antonio.fernando@ebserh.gov.br
EBSERH-UFPR/MVFA – Maternidade Victor Ferreira do Amaral,http://www.hc.ufpr.br/,Rosemari Nunes Ferreira,"Rua General Carneiro, 181",80060900,Curitiba,PR,41,33606618,ouvidoria@hc.ufpr.br
EBSERH-UNIVASF - Hospital de Ensino Dr. Washington Antônio de Barros,http://www.ebserh.gov.br,Maria Emília Vidal Teles,Avenida José de Sá Maniçoba,56304260,Petrolina,PE,87,21016519,ouvidoria.univasf@ebserh.gov.br
ECT – Empresa Brasileira de Correios e Telégrafos,http://www.correios.com.br,Paula Ribeiro Mesaros,"SBN, Quadra 1, Bloco A - edifício-sede dos Correios, 16º andar, ala norte",70002900,Brasília,DF,61,21416345,monitoramentosic@correios.com.br
ELETROACRE – Companhia de Eletricidade do Acre,http://www.eletrobrasacre.com/acesso-a-informacao,Alice Regina Rodrigues de Souza,"Rua Valério Magalhães, 226, Bosque",69900685,Rio Branco,AC,68,32125846,sic@eletrobrasacre.com
ELETROBRÁS – Centrais Elétricas Brasileiras S.A.,http://www.eletrobras.com/Acesso,Thatiana Martins dos Santos Silva,Av. Presidente Vargas 409 / 15° andar - centro,20071003,Rio de Janeiro,RJ,21,25145898,sic@eletrobras.com
ELETRONORTE – Centrais Elétricas do Norte do Brasil S.A.,http://sites.eletronorte.gov.br/wodpress/iformacao/,Daphnee Etchebehere de Souza Pinto Braga Mendes,"SCN, Quadra 06, Conjunto A, Bloco B, entrada norte 2, Asa Norte, Shoping ID",70716901,Brasília,DF,61,34296436,sic@eletronorte.gov.br
ELETRONUCLEAR – Eletrobrás Termonuclear S.A.,http://www.eletronuclear.gov.br,Eduardo Lopes Schwartz,"Rua da Candelária, 65, Centro",20091906,Rio de Janeiro,RJ,21,25880601,sic@eletronuclear.gov.br
ELETROPAR – Eletrobrás Participações S.A.,http://www.eletrobraspar.com,Marcia Maria Magalhães Pinheiro,"Av. Marechal Floriano, 19, 15º andar - sala 1501, Centro",20080003,Rio de Janeiro,RJ,21,25145420,sic@eletrobraspar.com.br
ELETROSUL – Eletrosul Centrais Elétricas S.A.,http://www.eletrosul.gov.br/home/conteudo.php?cd=1375,Luiz Alberto de Cerqueira Cintra Filho,"Rua Deputado Antonio Edu Vieira, Nº 999, Pantanal",88040901,Florianópolis,SC,48,32317315,sic@eletrosul.gov.br
EMBRAPA – Empresa Brasileira de Pesquisa Agropecuária,https://www.embrapa.br/acessoainformacao/servico-de-informacao-ao-cidadao-sic,Zenilton de Jesus Gayoso Miranda,Parque Estação Biológica - PqEB s/n° Embrapa Sede,70770901,Brasília,DF,61,34484199,sic@embrapa.br
EMBRATUR – Instituto Brasileiro de Turismo,http://www.embratur.gov.br,Rafael Felismino,"SCN Quadra 2, Bloco G, Ed. Embratur",70712907,Brasília,DF,61,20238501,sic@embratur.gov.br
EMGEA – Empresa Gestora de Ativos,http://www.emgea.gov.br/AcessoAInformacao/Index,Paulo Alberto Brombal,"SBS Quadra 2 Bloco B, Subloja",70070902,Brasília,DF,61,32144905,acessoainformacao@emgea.gov.br
EMGEPRON – Empresa Gerencial de Projetos Navais,http://www.emgepron.com.br/acessoainformacao,NEY FURTADO DE FARIA,"Edifício Almirante Raphael de Azevedo Branco, Ilha das Cobras - Centro",20091907,Rio de Janeiro,RJ,21,39071766,sic@egpron.mar.mil.br
ENAP – Fundação Escola Nacional de Administração Pública,http://www.enap.gov.br,João Paulo Silveira,SAIS Área 2 A,70610900,Brasília,DF,61,20203087,sic@enap.gov.br
EPE – Empresa de Pesquisa Energética,http://www.epe.gov.br/acessoainformacao,Álvaro Henrique Matias Pereira,"Av. Rio Branco, 01, 11º andar - Centro",20090003,Rio de Janeiro,RJ,21,35123399,sic@epe.gov.br
EPL – Empresa de Planejamento e Logística S.A.,http://www.epl.gov.br,Patricia Gomes da Cunha,"SBN quadra 02 , Lote 04, bloco P",70040020,Brasília,DF,61,40436428,sic@epl.gov.br
ESG – Escola Superior de Guerra,http://www.esg.br/acessoainformacao/,Cel SÉRGIO LUIZ STOPATTO,"Fortaleza de São João - Av. João Luiz Alves, s/nº -  Urca",22291090,Rio de Janeiro,RJ,21,35459820,acessoainformacao@esg.br
FBN – Fundação Biblioteca Nacional,http://www.bn.gov.br,Maria Eduarda Castro Magalhães Marques,"AV. RIO BRANCO N° 219 4º andar, centro",20040008,Rio de Janeiro,RJ,21,30953813,sicbn@bn.gov.br
FCP – Fundação Cultural Palmares,http://www.palmares.gov.br/?page_id=19949,Raimundo Nonato Almeida Pereira,Quadra 601 Norte – SGAN – Lote L – Ed. ATP - 2° andar,70830010,Brasília,DF,61,34240147,sic@palmares.gov.br
FCRB – Fundação Casa de Rui Barbosa,http://www.casaruibarbosa.gov.br/interna.php?ID_S=387,RICARDO CALMON REIS DE S. SOARES,"RUA SÃO CLEMENTE 134, 1º andar, Botafogo",22260000,Rio de Janeiro,RJ,21,32894605,sic@rb.gov.br
FINEP – Financiadora de Estudos e Projetos,http://www.finep.gov.br/,KATHYA VALESKA G.AZEVEDO,"Av. República do Chile, 330-Torre Oeste-- Rio de Janeiro - RJ-17º andar",20031170,Rio de Janeiro,RJ,21,25550230,sic@finep.gov.br
FIOCRUZ – Fundação Oswaldo Cruz,http://www.fiocruz.br/acessoainformacao,MARIO SANTOS MOREIRA,"Av. Brasil, 4365, Prédio Castelo - sala 101, Manguinhos",21040360,Rio de Janeiro,RJ,21,38851812,sic@fiocruz.br
FNDE – Fundo Nacional de Desenvolvimento da Educação,http://www.fnde.gov.br/fnde/acesso-a-informacao,Maurício Cesar Marques de Carvalho,SBS Qd. 02 Bl. F Ed. FNDE,70070929,Brasília,DF,61,20224850,sic@fnde.gov.br
FUNAG – Fundação Alexandre de Gusmão,http://www.funag.gov.br/acessoainformacao,JOSE BONIFACIO GOMES DE ANDRADE JUNIOR,"Ministério das Relações Exteriores - Anexo II, Térreo, Esplanada dos Ministérios",70170900,Brasília,DF,61,20309131,sic@funag.gov.br
FUNAI – Fundação Nacional do Índio,http://www.funai.gov.br,Vilson Francisco,"SBS QD 2 Lote 14 Ed. Cleto Meireles, 11º andar",70070120,Brasília,DF,61,32476301,sic@funai.gov.br
FUNARTE – Fundação Nacional de Artes,http://www.funarte.gov.br/acessoainformacao,Reinaldo da Silva Veríssimo,"Rua da Imprensa, 16, Sala 1301, 13. Andar",20030120,Rio de Janeiro,RJ,21,22798003,sic@funarte.gov.br
FUNASA – Fundação Nacional de Saúde,http://www.funasa.gov.br/acesso-a-informacao,Marcos Antonio Silva de Almeida,Edifício PO 700 - Setor de Rádio e Televisão Norte (SRTVN) - Quadra 701 - Lote D - 1º andar - Asa Norte - Brasília/DF - CEP: 70.719-040,70070040,Brasília,DF,61,33146121,sic@funasa.gov.br
"FUNDACENTRO – Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho",http://www.fundacentro.gov.br/index.asp?D=SIC&,Erica Lui Reinhardt,"Rua Capote Valente, 710 - Pinheiros/SP",5409002,São Paulo,SP,11,30666074,erica.reinhardt@fundacentro.gov.br
FUNDAJ – Fundação Joaquim Nabuco,http://www.fundaj.gov.br/Acesso,FÁBIO LUCAS DE BARROS E SILVA,"Av. 17 de agosto, 2187, casa forte.",52071440,Recife,PE,81,30736208,sic@fundaj.gov.br
FUNRei - Fundação Universidade Federal de São João Del Rei,http://www.ufsj.edu.br/acessoainformacao,Elaine Cristina Aparecida de Souza,"Praça Frei Orlando, 170 - Centro",36307352,São João del Rei,MG,32,33732900,e-sic@ufsj.edu.br
FURG – Fundação Universidade Federal do Rio Grande,http://www.furg.br/acessoainformacao,Maria Rozana Rodrigues de Almeida,Av. Itália km 8 - Campus Carreiros -,96203900,Rio Grande,RS,53,32935450,acessoainformacao@furg.br
FURNAS – Furnas Centrais Elétricas S.A.,http://extranet/frmAlAcessoinformacao.aspx,Fernanda Marhy Lagrotta,"Rua Real Grandeza, 219, Botafogo",22281900,Rio de Janeiro,RJ,21,25284699,sic@furnas.com.br
GSI-PR – Gabinete de Segurança Institucional da Presidência da República,http://www.planalto.gov.br/acessoainformacao,Márcio Paulo Buzanelli,"Praça dos Três Poderes - Palácio do Planalto, Anexo I, Ala ""A"", Sala 101",70150900,Brasília,DF,61,34112002,sicplanalto@presidencia.gov.br
HCPA – Hospital de Clínicas de Porto Alegre,http://www.hcpa.edu.br,Armando Jose Gass,"Rua Ramiro Barcelos, 2350",90035903,Porto Alegre,RS,51,33598300,sic@hcpa.edu.br
